Gene symbol,Ensembl gene ID,Disease name,EFO ID,Therapeutic area,gPS,Number of therapeutic areas
POU5F1B,ENSG00000212993,sigmoid neoplasm,EFO_1001181,cancer or benign tumor,54,8
SMAD7,ENSG00000101665,sigmoid neoplasm,EFO_1001181,cancer or benign tumor,38,7
KCNRG,ENSG00000198553,lymphoid leukemia,EFO_0004289,cancer or benign tumor,16,8
IRF4,ENSG00000137265,lymphoid leukemia,EFO_0004289,cancer or benign tumor,62,13
DUSP22,ENSG00000112679,lymphoid leukemia,EFO_0004289,cancer or benign tumor,8,5
C11orf21,ENSG00000110665,lymphoid leukemia,EFO_0004289,cancer or benign tumor,4,3
TSPAN32,ENSG00000064201,lymphoid leukemia,EFO_0004289,cancer or benign tumor,4,4
BCL2,ENSG00000171791,lymphoid leukemia,EFO_0004289,cancer or benign tumor,23,7
ACOXL,ENSG00000153093,lymphoid leukemia,EFO_0004289,cancer or benign tumor,23,8
CHEK2,ENSG00000183765,lymphoid leukemia,EFO_0004289,cancer or benign tumor,60,10
SP140,ENSG00000079263,lymphoid leukemia,EFO_0004289,cancer or benign tumor,9,3
RPLP1,ENSG00000137818,lymphoid leukemia,EFO_0004289,cancer or benign tumor,7,5
GRAMD1B,ENSG00000023171,lymphoid leukemia,EFO_0004289,cancer or benign tumor,9,2
BCL2L11,ENSG00000153094,lymphoid leukemia,EFO_0004289,cancer or benign tumor,37,12
ENSG00000293584,ENSG00000293584,lymphoid leukemia,EFO_0004289,cancer or benign tumor,24,12
MYNN,ENSG00000085274,lymphoid leukemia,EFO_0004289,cancer or benign tumor,23,3
IL13,ENSG00000169194,Allergy,HP_0012393,other,25,10
LRRC32,ENSG00000137507,Allergy,HP_0012393,other,36,10
ABO,ENSG00000175164,Allergy,HP_0012393,other,105,20
FLG,ENSG00000143631,Allergy,HP_0012393,other,24,9
GSDMB,ENSG00000073605,Allergy,HP_0012393,other,36,12
SERPINB7,ENSG00000166396,Allergy,HP_0012393,other,7,3
IL1RL1,ENSG00000115602,Allergy,HP_0012393,other,24,8
TLR1,ENSG00000174125,Allergy,HP_0012393,other,19,7
CLEC16A,ENSG00000038532,Allergy,HP_0012393,other,42,14
ZNF652,ENSG00000198740,Allergy,HP_0012393,other,34,10
ADCY7,ENSG00000121281,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",11,4
IL23R,ENSG00000162594,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",32,11
NKX2-3,ENSG00000119919,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",26,9
PTGER4,ENSG00000171522,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",38,12
EMSY,ENSG00000158636,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",14,8
TNRC18,ENSG00000182095,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",46,12
TNFSF8,ENSG00000106952,Crohn's disease,EFO_0000384,"genetic, familial or congenital disease",8,5
SERPINA1,ENSG00000197249,infection,EFO_0000544,other,36,12
SERPINA1,ENSG00000197249,chronic obstructive pulmonary disease,EFO_0000341,respiratory or thoracic disease,36,12
FTO,ENSG00000140718,continuous positive airway pressure,EFO_0010719,other,126,19
NCAM1,ENSG00000149294,continuous positive airway pressure,EFO_0010719,other,35,13
PITX2,ENSG00000164093,continuous positive airway pressure,EFO_0010719,other,41,10
HSF5,ENSG00000176160,anemia,MONDO_0002280,hematologic disease,2,2
HBS1L,ENSG00000112339,anemia,MONDO_0002280,hematologic disease,12,5
PCOLCE,ENSG00000106333,anemia,MONDO_0002280,hematologic disease,1,1
HBB,ENSG00000244734,anemia,MONDO_0002280,hematologic disease,10,6
C1orf141,ENSG00000203963,immune system disease,EFO_0000540,other,6,4
CCDC88B,ENSG00000168071,immune system disease,EFO_0000540,other,18,9
SEC14L2,ENSG00000100003,immune system disease,EFO_0000540,other,1,1
ANXA11,ENSG00000122359,immune system disease,EFO_0000540,other,2,2
ATXN2,ENSG00000204842,immune system disease,EFO_0000540,other,44,12
IL23R,ENSG00000162594,immune system disease,EFO_0000540,other,32,11
PDE4B,ENSG00000184588,immune system disease,EFO_0000540,other,22,8
SGIP1,ENSG00000118473,immune system disease,EFO_0000540,other,6,4
FAM117B,ENSG00000138439,immune system disease,EFO_0000540,other,3,3
HORMAD2,ENSG00000176635,immune system disease,EFO_0000540,other,19,9
ZAP70,ENSG00000115085,immune system disease,EFO_0000540,other,11,6
LIPC,ENSG00000166035,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",9,5
C3,ENSG00000125730,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",10,4
CSMD3,ENSG00000164796,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",2,2
RLBP1,ENSG00000140522,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",5,2
KMT2E,ENSG00000005483,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",7,4
CFH,ENSG00000000971,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",17,5
NR5A2,ENSG00000116833,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",12,5
COL10A1,ENSG00000123500,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",8,4
KCNT2,ENSG00000162687,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",8,4
CFI,ENSG00000205403,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",9,4
COL8A1,ENSG00000144810,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",13,5
CRB1,ENSG00000134376,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",8,4
KLHL8,ENSG00000145332,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",8,4
APOE,ENSG00000130203,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",107,16
B3GALT2,ENSG00000162630,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",4,3
VEGFA,ENSG00000112715,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",47,14
ARMS2,ENSG00000254636,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",22,6
HTRA1,ENSG00000166033,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",31,8
ZBTB41,ENSG00000177888,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",4,2
ZNF385B,ENSG00000144331,dry age related macular degeneration,MONDO_0100114,"genetic, familial or congenital disease",4,3
NRG1,ENSG00000157168,Graves disease,EFO_0004237,endocrine system disease,18,4
CD40,ENSG00000101017,Graves disease,EFO_0004237,endocrine system disease,13,7
BACH2,ENSG00000112182,Graves disease,EFO_0004237,endocrine system disease,46,13
ZAP70,ENSG00000115085,Graves disease,EFO_0004237,endocrine system disease,11,6
UBASH3A,ENSG00000160185,Graves disease,EFO_0004237,endocrine system disease,14,8
RTKN2,ENSG00000182010,Graves disease,EFO_0004237,endocrine system disease,10,6
TSHR,ENSG00000165409,Graves disease,EFO_0004237,endocrine system disease,10,5
GPR174,ENSG00000147138,Graves disease,EFO_0004237,endocrine system disease,7,3
GGTLC2,ENSG00000100121,Graves disease,EFO_0004237,endocrine system disease,3,1
CTLA4,ENSG00000163599,Graves disease,EFO_0004237,endocrine system disease,26,9
PTPN22,ENSG00000134242,Graves disease,EFO_0004237,endocrine system disease,71,15
MAF,ENSG00000178573,Graves disease,EFO_0004237,endocrine system disease,28,8
PRDM11,ENSG00000019485,Graves disease,EFO_0004237,endocrine system disease,14,7
TNRC18,ENSG00000182095,Graves disease,EFO_0004237,endocrine system disease,46,12
LPP,ENSG00000145012,Graves disease,EFO_0004237,endocrine system disease,59,14
FGF7,ENSG00000140285,Graves disease,EFO_0004237,endocrine system disease,14,5
NOS3,ENSG00000164867,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",28,6
HMGCR,ENSG00000113161,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",14,6
LPA,ENSG00000198670,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",58,9
PLPP7,ENSG00000160539,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",1,1
TM6SF2,ENSG00000213996,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",21,9
TDRD15,ENSG00000218819,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",13,5
TRIB1,ENSG00000173334,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",39,10
APOB,ENSG00000084674,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",17,4
RASSF6,ENSG00000169435,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",6,5
APOE,ENSG00000130203,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",107,16
ABCG5,ENSG00000138075,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",21,6
ABCG8,ENSG00000143921,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",30,9
PCSK9,ENSG00000169174,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",23,4
SUPT4H1,ENSG00000213246,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,5
MAFB,ENSG00000204103,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",28,8
APOC1,ENSG00000130208,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",20,8
MTSS1,ENSG00000170873,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",6,3
VEGFA,ENSG00000112715,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",47,14
GCKR,ENSG00000084734,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",38,13
EDNRA,ENSG00000151617,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",31,5
APOA5,ENSG00000110243,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",24,5
ZPR1,ENSG00000109917,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",23,5
CDKN2B,ENSG00000147883,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",148,21
HGFAC,ENSG00000109758,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",8,3
TIMD4,ENSG00000145850,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,4
FADS1,ENSG00000149485,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",26,10
LDLR,ENSG00000130164,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",33,5
INSIG2,ENSG00000125629,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",6,5
COPZ2,ENSG00000005243,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",3,3
HPR,ENSG00000261701,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",8,4
HP,ENSG00000257017,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",12,4
CACNA1A,ENSG00000141837,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",3,2
IRF2BP2,ENSG00000168264,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,4
ST3GAL4,ENSG00000110080,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",10,5
HAPLN4,ENSG00000187664,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",6,4
SORT1,ENSG00000134243,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",35,5
CELSR2,ENSG00000143126,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",35,5
PSRC1,ENSG00000134222,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",35,5
DNAH11,ENSG00000105877,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,5
RTL9,ENSG00000243978,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",3,2
LPL,ENSG00000175445,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",29,6
ARID1A,ENSG00000117713,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",8,4
ABO,ENSG00000175164,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",105,20
HNF1A,ENSG00000135100,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",24,9
SLC26A5,ENSG00000170615,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,4
FGF21,ENSG00000105550,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",4,2
NPC1L1,ENSG00000015520,familial hypercholesterolemia,EFO_0004911,"genetic, familial or congenital disease",7,3
GCKR,ENSG00000084734,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",38,13
LPL,ENSG00000175445,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",29,6
ZPR1,ENSG00000109917,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",23,5
APOA5,ENSG00000110243,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",24,5
PSRC1,ENSG00000134222,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",35,5
CELSR2,ENSG00000143126,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",35,5
SORT1,ENSG00000134243,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",35,5
TRIB1,ENSG00000173334,Combined hyperlipidemia,Orphanet_79211,"genetic, familial or congenital disease",39,10
ABCG8,ENSG00000143921,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,30,9
ABCG5,ENSG00000138075,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,21,6
CDKN2B,ENSG00000147883,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,148,21
APOE,ENSG00000130203,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,107,16
TM6SF2,ENSG00000213996,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,21,9
PCSK9,ENSG00000169174,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,23,4
HP,ENSG00000257017,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,12,4
APOB,ENSG00000084674,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,17,4
APOA5,ENSG00000110243,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,24,5
ZPR1,ENSG00000109917,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,23,5
LPA,ENSG00000198670,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,58,9
ANKRD17,ENSG00000132466,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,8,7
TRIB1,ENSG00000173334,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,39,10
APOC1,ENSG00000130208,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,20,8
SORT1,ENSG00000134243,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,35,5
PSRC1,ENSG00000134222,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,35,5
CELSR2,ENSG00000143126,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,35,5
ABO,ENSG00000175164,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,105,20
CERT1,ENSG00000113163,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,1,1
VEGFA,ENSG00000112715,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,47,14
LDLR,ENSG00000130164,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,33,5
PLPP3,ENSG00000162407,hyperlipidemia,MONDO_0021187,nutritional or metabolic disease,26,8
GNAT2,ENSG00000134183,obesity,EFO_0001073,nutritional or metabolic disease,2,2
TRIM73,ENSG00000178809,obesity,EFO_0001073,nutritional or metabolic disease,1,1
TRHDE,ENSG00000072657,obesity,EFO_0001073,nutritional or metabolic disease,2,2
ELAVL4,ENSG00000162374,obesity,EFO_0001073,nutritional or metabolic disease,2,2
CPNE4,ENSG00000196353,obesity,EFO_0001073,nutritional or metabolic disease,6,4
GNPDA2,ENSG00000163281,obesity,EFO_0001073,nutritional or metabolic disease,14,8
PGPEP1,ENSG00000130517,obesity,EFO_0001073,nutritional or metabolic disease,3,3
GRID1,ENSG00000182771,obesity,EFO_0001073,nutritional or metabolic disease,3,3
IL13RA1,ENSG00000131724,obesity,EFO_0001073,nutritional or metabolic disease,4,3
RBMS1,ENSG00000153250,obesity,EFO_0001073,nutritional or metabolic disease,5,5
PCDH17,ENSG00000118946,obesity,EFO_0001073,nutritional or metabolic disease,9,5
PON1,ENSG00000005421,obesity,EFO_0001073,nutritional or metabolic disease,1,1
KLF16,ENSG00000129911,obesity,EFO_0001073,nutritional or metabolic disease,2,2
PHF24,ENSG00000122733,obesity,EFO_0001073,nutritional or metabolic disease,1,1
SKOR1,ENSG00000188779,obesity,EFO_0001073,nutritional or metabolic disease,10,5
RARB,ENSG00000077092,obesity,EFO_0001073,nutritional or metabolic disease,17,10
PMFBP1,ENSG00000118557,obesity,EFO_0001073,nutritional or metabolic disease,19,9
FTO,ENSG00000140718,obesity,EFO_0001073,nutritional or metabolic disease,126,19
ADCY3,ENSG00000138031,obesity,EFO_0001073,nutritional or metabolic disease,10,6
SEC16B,ENSG00000120341,obesity,EFO_0001073,nutritional or metabolic disease,8,3
DCC,ENSG00000187323,obesity,EFO_0001073,nutritional or metabolic disease,50,12
EP300,ENSG00000100393,obesity,EFO_0001073,nutritional or metabolic disease,20,9
ZFP64,ENSG00000020256,obesity,EFO_0001073,nutritional or metabolic disease,11,7
KLK11,ENSG00000167757,obesity,EFO_0001073,nutritional or metabolic disease,1,1
KLK10,ENSG00000129451,obesity,EFO_0001073,nutritional or metabolic disease,1,1
KPNA2,ENSG00000182481,obesity,EFO_0001073,nutritional or metabolic disease,9,7
LRFN2,ENSG00000156564,obesity,EFO_0001073,nutritional or metabolic disease,6,4
GRP,ENSG00000134443,obesity,EFO_0001073,nutritional or metabolic disease,5,3
NPAS3,ENSG00000151322,obesity,EFO_0001073,nutritional or metabolic disease,20,6
THSD7B,ENSG00000144229,obesity,EFO_0001073,nutritional or metabolic disease,4,4
L1TD1,ENSG00000240563,obesity,EFO_0001073,nutritional or metabolic disease,2,2
KCNK3,ENSG00000171303,obesity,EFO_0001073,nutritional or metabolic disease,16,6
IRX3,ENSG00000177508,obesity,EFO_0001073,nutritional or metabolic disease,12,7
RERGL,ENSG00000111404,obesity,EFO_0001073,nutritional or metabolic disease,6,5
BDNF,ENSG00000176697,obesity,EFO_0001073,nutritional or metabolic disease,18,8
NRXN3,ENSG00000021645,obesity,EFO_0001073,nutritional or metabolic disease,15,8
FOXO3,ENSG00000118689,obesity,EFO_0001073,nutritional or metabolic disease,7,4
MCM6,ENSG00000076003,obesity,EFO_0001073,nutritional or metabolic disease,8,4
LCT,ENSG00000115850,obesity,EFO_0001073,nutritional or metabolic disease,9,5
METTL15,ENSG00000169519,obesity,EFO_0001073,nutritional or metabolic disease,26,11
