Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
ITGAL,ENSG00000005844,Sjogren syndrome,EFO_0000699,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,age-related macular degeneration,EFO_0001365,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,psoriatic arthritis,EFO_0003778,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,eye disease,EFO_0003966,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1,0
ITGAL,ENSG00000005844,allergic conjunctivitis,EFO_0007141,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,diabetic macular edema,EFO_0009321,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,hidradenitis suppurativa,EFO_1000710,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,dry eye syndrome,EFO_1000906,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1,0
ITGAL,ENSG00000005844,lupus erythematosus,MONDO_0004670,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0,0
ITGAL,ENSG00000005844,type 1 diabetes mellitus,MONDO_0005147,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0,0
